#lambda    flux1    flux2    flux3    flux4
4176.12   0.0259   0.0306  -0.0066  -0.0171
4177.09   0.0259   0.0303  -0.0092  -0.0194
4178.07   0.0256   0.0300  -0.0143  -0.0295
4179.05   0.0254   0.0299  -0.0152  -0.0314
4180.02   0.0257   0.0291  -0.0085  -0.0177
4181.00   0.0261   0.0283  -0.0034   0.0005
4181.97   0.0261   0.0283  -0.0020  -0.0007
4182.95   0.0261   0.0288  -0.0044  -0.0067
4183.93   0.0261   0.0294  -0.0063  -0.0070
4184.90   0.0262   0.0298  -0.0044  -0.0032
4185.88   0.0263   0.0289  -0.0030  -0.0019
4186.86   0.0260   0.0291  -0.0035  -0.0103
4187.84   0.0256   0.0301  -0.0059  -0.0192
4188.81   0.0255   0.0297  -0.0043  -0.0179
4189.79   0.0261   0.0286  -0.0019   0.0018
4190.77   0.0265   0.0276   0.0007   0.0130
4191.75   0.0264   0.0283   0.0032   0.0089
4192.73   0.0264   0.0281   0.0055   0.0129
4193.71   0.0267   0.0266   0.0093   0.0300
4194.69   0.0269   0.0262   0.0084   0.0323
4195.67   0.0266   0.0281   0.0056   0.0141
4196.65   0.0263   0.0283  -0.0002   0.0049
4197.62   0.0260   0.0286  -0.0038  -0.0038
4198.60   0.0255   0.0295  -0.0094  -0.0266
4199.59   0.0252   0.0304  -0.0075  -0.0316
4200.57   0.0255   0.0293  -0.0028  -0.0126
4201.55   0.0258   0.0289   0.0002  -0.0057
4202.53   0.0256   0.0288   0.0001  -0.0088
4203.51   0.0256   0.0286   0.0001  -0.0070
4204.49   0.0260   0.0287   0.0008  -0.0013
4205.47   0.0262   0.0285  -0.0010   0.0017
4206.45   0.0264   0.0276   0.0003   0.0074
4207.44   0.0265   0.0266   0.0040   0.0167
4208.42   0.0266   0.0269   0.0055   0.0179
4209.40   0.0265   0.0275   0.0058   0.0128
4210.38   0.0263   0.0276   0.0056   0.0054
4211.37   0.0264   0.0277   0.0063   0.0092
4212.35   0.0266   0.0265   0.0124   0.0193
4213.33   0.0267   0.0261   0.0156   0.0292
4214.32   0.0265   0.0258   0.0095   0.0226
4215.30   0.0258   0.0272   0.0018  -0.0008
4216.29   0.0252   0.0282   0.0006  -0.0138
4217.27   0.0253   0.0281   0.0047  -0.0080
4218.26   0.0259   0.0279   0.0049   0.0046
4219.24   0.0262   0.0271   0.0055   0.0070
4220.23   0.0263   0.0262   0.0063   0.0043
4221.21   0.0263   0.0261   0.0071   0.0141
4222.20   0.0264   0.0258   0.0077   0.0177
